id,name,phone,website,rating,reviews,address,industry,distance,ownerOperated,score,status,notes
93cbbd8f-9916-4777-9557-e165f83c8e63,Locust Hill Landscaping,(315) 252-0624,https://locusthilllandscapingcny.com/,4.0,8,"3510 E Genesee St, Auburn, NY 13021, USA",Landscaping,~5mi radius,True,95,Fairway,v 
f73886be-2cf7-4576-a7a6-387a57455a59,T&K LawnCare,(315) 515-0748,https://m.facebook.com/pages/category/Landscape-Company/TK-Lawn-Care-102960731369231/,5.0,8,"8 Frazee St, Auburn, NY 13021, USA",Landscaping,~5mi radius,True,95,Fairway,
ea4f5b7e-0c80-48e0-8d1d-4d07b9387fe0,The Real Estate Agency,(315) 604-0718,http://www.the-realestateagency.com/,4.8,19,"110 Genesee St #390b, Auburn, NY 13021, USA",Real Estate Agency,~5mi radius,True,95,Fairway,
8f49600b-73f8-485e-8df9-b77d7cabe61a,Clare Real Estate,(315) 252-3304,http://www.joeclarerealestate.com/,4.6,25,"8 N Hunter Ave, Auburn, NY 13021, USA",Real Estate Agency,~5mi radius,True,95,Fairway,
e9a222f7-3101-439f-9d94-db5fe8e59080,Post Realty,(315) 258-3883,https://postrealty.net/,4.8,12,"68 Lake Ave, Auburn, NY 13021, USA",Real Estate Agency,~5mi radius,True,95,Fairway,
9eefc6b0-6e21-44a5-a812-861f65d9e82c,Riordan Realty,(315) 252-4687,http://www.riordanrealty.net/,4.0,13,"15 State St, Auburn, NY 13021, USA",Real Estate Agency,~5mi radius,True,95,Fairway,
f6cd2aca-170b-477e-aa41-6a601b5c1196,Willow & Co. Property Brokers,(315) 246-6275,https://www.willowcobrokers.com/,5.0,24,"150 York St, Auburn, NY 13021, USA",Real Estate Agency,~5mi radius,True,95,Fairway,
2b35d3ba-3ed4-4d84-931c-1082c85f4a61,Michael DeRosa Exchange - (Owasco Lake) Upstate New York,(315) 406-7355,http://derosaexchange.com/,4.0,7,"6926 Owasco Rd, Owasco, NY 13021, USA",Real Estate Agency,~5mi radius,True,95,Fairway,
2b3c82e1-ea1e-4a1d-9238-a73a81d0e11c,G-Man Tree Service LLC,(315) 702-4041,https://www.gmantreeservicellc.com/,4.7,38,"71 Orchard St, Auburn, NY 13021, USA",Tree Service,~5mi radius,True,95,Hazard,
468a4734-c343-4341-a010-807c0f472987,"L. Moore Tree Service, LLC.",(315) 523-3799,https://lmooretreeservice.com/,5.0,55,"7570 Healy Rd, Auburn, NY 13021, USA",Tree Service,~5mi radius,True,95,Fairway,
a8ba2124-295e-4c64-ae2c-ed6cfc170bb5,Dan Lennox Tree Service LLC,(315) 246-4471,http://danlennoxtreepros.com/,5.0,11,"1706 Clark Street Rd, Auburn, NY 13021, USA",Tree Service,~5mi radius,True,95,Fairway,
803b79fd-b661-4f82-9045-eaeee1dd0cc7,Cranebrook Tree Service & Tree Farm,(315) 253-2525,https://www.cranebrooktree.com/,4.2,20,"7109 Canoga Rd, Auburn, NY 13021, USA",Tree Service,~5mi radius,True,95,Fairway,
aae09b2f-16d0-43d5-b849-98f9d7df9fe2,Finger Lakes Exteriors,(315) 729-2863,http://fingerlakesexteriors.com/,4.7,13,"6 Melrose Rd, Auburn, NY 13021, USA",Roofing Contractor,~5mi radius,True,95,Fairway,
