id,name,phone,website,rating,reviews,address,industry,distance,ownerOperated,score,status,notes
410192b3-512b-4572-b66d-d2d8e0d12ce8,Lynch Landscaping LLC,(203) 605-8359,https://www.lynchlandscapingllc.com/,4.9,18,"835 Sherman Ave, Hamden, CT 06514, USA",All,~15mi zone,True,95,Fairway,Left info with reception
6b19c917-29cc-42b4-9db4-418990e7198f,Pitch Pines Landscaping LLC,(203) 687-3734,https://www.pitchpineslandscaping1.com/,4.8,20,"319 Washington Ave Ste 4, North Haven, CT 06473, USA",All,~15mi zone,True,95,Fairway,
26a45798-f5ab-4348-9bef-f70926c731dc,Landscaping Works LLC,(860) 839-9048,http://landscapingworksct.com/,5.0,29,"684 W Center St, Southington, CT 06489, USA",All,~15mi zone,True,95,Hazard,guy called back but i missed his call
94401fc0-d962-47b8-93e6-b1031d1d4b31,DIBS LANDSCAPING,(203) 915-5441,https://www.dibslandscapingct.com/,5.0,31,"350 Chestnut St, Cheshire, CT 06410, USA",All,~15mi zone,True,95,Fairway,
9a71864a-ca12-4d6c-9d72-70b0f8d74fd1,Trusted Landscaping Llc,(203) 819-1121,https://trustedlandscapingllc.net/,4.9,44,"25 Fairview St, Waterbury, CT 06710, USA",All,~15mi zone,True,95,Green,call luis 2039280395
6998055d-eca1-40d6-9f52-a8a1cc989a80,Capasso Landscaping & Tree Removal,(203) 430-1555,https://www.capassolandscaping.com/,4.8,135,"256 Amity Rd, Bethany, CT 06524, USA",All,~15mi zone,True,95,Fairway,reception. they called back and i missed the call 
bc6e4543-b3a8-4fc9-a664-9b18c6f97ae1,DiTullio Landscaping LLC,(203) 843-5149,http://ditulliollc.com/,5.0,10,"31 Bradley St, North Haven, CT 06473, USA",All,~15mi zone,True,95,Green,emailed rocco
3ec01561-1532-4768-8bcd-63a5f6971ae4,Stone Hill Landscape - Excavation,(203) 877-9324,http://stonehilllandscape.com/,4.8,40,"229 Seymour Rd, Woodbridge, CT 06525, USA",All,~15mi zone,True,95,Hazard,
f89b4ddf-a2eb-443a-ad8b-8161889e1065,Blossom View Landscaping,(203) 272-2001,https://ronnpk.wixsite.com/website?fbclid=lwAR3l7FVJrNHEAlFscllM5JUXzdbgtCcb_p13lk1rmgSPZoatzF4WyzLKOs,4.3,24,"108 Blacks Rd, Cheshire, CT 06410, USA",All,~15mi zone,True,95,Fairway,
ea854394-1bb3-40dc-98bb-dc1686630b9b,Ferraris landscaping & home improvement LLC,(475) 234-9908,http://ferraricontractor.com/,4.8,18,"82 Conrad St, Naugatuck, CT 06770, USA",All,~15mi zone,True,95,Hazard,
670fe5e5-818b-4966-ad94-c7f660d513e5,Garcí’s tree service & landscaping LLC,(203) 922-2506,http://www.garcistree.com/,4.8,37,"628 New Haven Rd, Naugatuck, CT 06770, USA",All,~15mi zone,True,95,Fairway,guy said he would call back 
e117172e-9181-4766-993a-827ea480ad81,Ali's Nursery & Landscaping,(860) 621-6506,http://alisnursery.com/,4.3,165,"421 Buckland St, Plantsville, CT 06479, USA",All,~15mi zone,True,95,Hazard,
b66d926f-0d87-4426-b9e2-9b494091978e,Alpha Hardscapes,(475) 227-6896,http://www.alphahardscapes.com/,5.0,59,"1813 Peck Ln, Cheshire, CT 06410, USA",All,~15mi zone,True,95,Hazard,
c0c30617-5587-4816-bd5f-e82b3fa143ab,EverGreen Lawn & Landscape,(203) 941-6308,https://www.evergreenlawnandlandscape.com/,4.9,41,"1101 Main St, Watertown, CT 06795, USA",All,~15mi zone,True,95,Hazard,
647b06ca-66e2-433a-a3e8-70c951292c02,AJP Landscaping LLC,(860) 478-7162,http://ajplandscapingllc.com/,4.9,71,"33 Jr Rd, Farmington, CT 06032, USA",All,~15mi zone,True,95,Fairway,
67d1c5b5-d526-4424-82cc-91317564900f,HQ Landscaping LLC,(860) 329-6616,https://hqlandscaping.com/,4.7,20,"136 Curtiss St, Southington, CT 06489, USA",All,~15mi zone,True,95,Hazard,
0c8bab66-b2f8-41a8-ae06-85771cbd86b0,Paramount Professional Landscaping LLC,(860) 422-5625,http://www.paramountproservice.com/,4.8,29,"59 Strawberry Hill Rd, Bristol, CT 06010, USA",All,~15mi zone,True,95,Fairway,
